userId,resId,X
13356,7878,0.76
13356,7878,0.71
13356,2196,0.74
13356,2196,0.76
13356,2196,0.64
15092,2196,0.56
15096,2196,0.44
13356,2196,0.83
15096,2196,0.77
15092,2196,0.74
13356,2196,0.85
15092,2196,0.86
15096,2196,0.84
13356,2196,0.64
15092,2196,0.75
15096,2196,0.67
13356,1424,0.8
13356,1424,0.78
13356,1424,0.79
13356,1424,0.76
13356,1424,0.76
19252,1424,0.85
19252,1424,0.77
30197,1424,0.77
30197,1424,0.63
13356,2212,0.71
15096,2212,0.81
15096,2212,0.8
15096,2212,0.82
15096,2212,0.84
20681,2212,0.81
15096,2212,0.72
13356,1734,0.67
13356,1734,0.73
13356,1734,0.7
19252,1734,0.73
30197,1734,0.73
1489,1734,0.71
13356,3426,0.82
15096,3426,0.82
14769,3426,0.82
15096,3426,0.85
13356,830,0.71
15096,830,0.83
15096,830,0.72
20191,830,0.88
18281,830,0.78
1489,830,0.69
13356,828,0.8
13356,828,0.83
13356,828,0.76
30197,828,0.68
23534,2131,0.76
6658,2131,0.64
6658,2131,0.62
1489,2131,0.52
23534,9394,0.84
23534,9394,0.83
23534,9394,0.83
23534,9394,0.89
13356,9394,0.82
13356,4701,0.74
13356,4701,0.77
13356,4701,0.85
13356,4701,0.89
13356,4701,0.66
13356,4701,0.78
19252,4701,0.87
1489,4701,0.84
12029,3852,0.76
13356,3852,0.76
13356,3852,0.84
14177,3852,0.8
15096,4880,0.77
13356,4880,0.78
14769,4880,0.75
19252,4880,0.86
19252,4880,0.79
1489,4880,0.82
13356,274,0.84
13356,274,0.8
13356,274,0.84
13356,274,0.8
12029,274,0.57
13356,274,0.61
3119,274,0.68
12029,274,0.79
15096,274,0.47
19252,274,0.69
30197,274,0.75
931,3983,0.93
17085,3983,0.72
19252,3983,0.71
1489,3983,0.64
13356,1480,0.84
13356,1480,0.76
30197,1480,0.76
30197,1480,0.77
30197,1480,0.74
30197,1480,0.73
30197,1480,0.79
30197,1480,0.68
30197,1480,0.68
30197,1480,0.75
28585,3932,0.75
13356,3932,0.77
19252,3932,0.75
6583,3932,0.75
13356,6262,0.78
13356,6262,0.78
13356,6262,0.87
15092,6262,0.82
15096,6262,0.84
13356,6262,0.82
15092,6262,0.8
15096,6262,0.83
13356,6262,0.88
15092,6262,0.83
15096,6262,0.81
13356,6262,0.76
13356,2639,0.82
13356,2639,0.83
13356,2639,0.6
13356,2639,0.73
30197,2639,0.59
30197,2639,0.77
30197,2639,0.71
25661,2639,0.81
13356,4207,0.85
13356,4207,0.73
13356,4207,0.82
13356,4207,0.79
30197,4207,0.62
13517,11196,0.87
31143,11196,0.92
14742,11196,0.89
27586,11196,0.95
9271,11196,0.92
19219,11196,0.95
28786,11196,0.85
22640,11196,0.89
6127,11196,0.85
22634,11196,0.92
14743,11196,0.93
9271,11196,0.86
12573,11196,0.97
20835,11196,0.9
22641,11196,0.94
13356,1425,0.67
13356,1425,0.65
30197,1425,0.79
13356,3627,0.74
13356,3627,0.68
13356,3627,0.72
19252,3627,0.31
1489,3627,0.78
5514,5415,0.58
19252,5415,0.64
19252,5415,0.88
25661,5415,0.82
19065,5415,0.74
18281,5415,0.62
1489,5415,0.75
15096,829,0.84
15096,829,0.82
15096,829,0.84
15096,829,0.73
15096,829,0.82
15096,829,0.83
19989,829,0.75
1489,829,0.7
23534,2193,0.86
13356,2193,0.8
13356,2193,0.68
13356,2193,0.84
13356,2193,0.79
13356,2193,0.91
13356,2193,0.89
13356,2193,0.76
30197,2193,0.68
1489,2193,0.55
13356,1632,0.74
14177,1632,0.8
19252,1632,0.6
6658,1632,0.73
30197,1632,0.7
23534,7546,0.89
23534,7546,0.87
23534,7546,0.88
23534,7546,0.87
23534,7546,0.83
23534,7546,0.82
13356,7546,0.77
3119,7546,0.74
12029,7546,0.84
27355,8344,0.77
27355,5452,0.66
16116,5452,0.73
17541,5452,0.7
3119,5452,0.7
25661,5452,0.77
25661,5452,0.71
12029,5452,0.58
19065,5452,0.85
16247,5452,0.84
16616,629,0.57
27355,629,0.75
19065,629,0.63
16247,629,0.79
29649,629,0.65
18382,1211,0.76
16282,5383,0.86
16282,5383,0.72
29768,5383,0.75
20924,10071,0.72
29768,10071,0.71
1489,1521,0.58
14621,10140,0.99
14621,10140,0.99
14621,10140,0.96
14621,10140,0.99
14621,10140,0.98
14621,10140,0.92
14621,10140,0.93
14621,10140,1.0
14621,10140,0.98
14621,10140,0.98
14621,10140,0.98
14621,10140,0.99
14621,10140,0.99
16162,9177,0.85
7001,9652,0.72
1824,9652,0.85
7001,9055,0.58
7001,9055,0.72
16162,9055,0.84
13356,7824,0.82
16162,10234,0.73
29649,7687,0.73
20351,558,0.68
7001,11283,0.77
7001,11283,0.61
7001,11283,0.75
16623,11283,0.61
19065,5308,0.57
16623,11029,0.78
16623,11029,0.79
19065,11029,0.83
22384,4700,0.73
16162,4700,0.84
16911,11038,0.83
24946,11038,0.85
15096,11038,0.79
28585,11038,0.65
23518,11038,0.82
822,3537,0.78
20627,874,0.85
27355,721,0.66
16911,721,0.86
27355,5055,0.64
16911,5055,0.83
27885,5055,0.72
23847,5055,0.67
