userId,resId,X
13356,2196,0.74
13356,2196,0.76
13356,2196,0.64
15096,2196,0.44
13356,2196,0.83
15096,2196,0.77
13356,2196,0.85
15096,2196,0.84
13356,2196,0.64
15096,2196,0.67
13356,1424,0.8
13356,1424,0.78
13356,1424,0.79
13356,1424,0.76
13356,1424,0.76
13356,1734,0.67
13356,1734,0.73
13356,1734,0.7
1489,1734,0.71
13356,9394,0.82
13356,2639,0.82
13356,2639,0.83
13356,2639,0.6
13356,2639,0.73
25661,2639,0.81
13356,1425,0.67
13356,1425,0.65
25661,5415,0.82
1489,5415,0.75
13356,2193,0.8
13356,2193,0.68
13356,2193,0.84
13356,2193,0.79
13356,2193,0.91
13356,2193,0.89
13356,2193,0.76
1489,2193,0.55
13356,1632,0.74
14177,1632,0.8
6658,1632,0.73
13356,7546,0.77
3119,7546,0.74
27355,8344,0.77
27355,5452,0.66
17541,5452,0.7
3119,5452,0.7
25661,5452,0.77
25661,5452,0.71
27355,629,0.75
16162,9177,0.85
7001,9652,0.72
7001,9055,0.58
7001,9055,0.72
16162,9055,0.84
16162,10234,0.73
24946,11038,0.85
15096,11038,0.79
23518,11038,0.82
27355,5055,0.64
24610,5055,0.68
29428,9288,0.73
24610,9288,0.65
24610,740,0.74
24610,740,0.81
16162,10656,0.66
14989,10656,0.74
24610,10656,0.76
27355,627,0.81
16282,627,0.77
16162,725,0.75
16282,725,0.78
24610,725,0.83
14177,1361,0.72
14177,1361,0.78
13356,1361,0.79
17541,1361,0.82
3119,1361,0.65
17541,1361,0.73
24946,8937,0.75
6658,8937,0.74
17541,550,0.84
24946,550,0.77
24946,550,0.82
25661,550,0.74
24946,550,0.75
24946,550,0.84
17541,550,0.79
24946,550,0.8
25661,550,0.62
17541,550,0.76
25661,550,0.66
24946,550,0.74
17541,550,0.72
24946,550,0.7
24946,550,0.81
24946,550,0.85
23518,550,0.61
3119,550,0.64
3119,550,0.69
14177,550,0.8
14177,3637,0.72
15096,3637,0.82
15096,3637,0.73
15096,3637,0.8
15096,3637,0.82
14177,3637,0.67
15096,3637,0.83
15096,3637,0.82
13356,3637,0.58
24946,3637,0.73
24946,3637,0.83
24946,3637,0.77
24946,3637,0.79
3119,3637,0.64
17541,3637,0.84
3119,3637,0.66
3119,1406,0.7
25661,1406,0.77
3119,1406,0.72
14177,4187,0.81
14177,4187,0.79
14177,4187,0.78
6658,4187,0.8
6658,4187,0.69
6658,4187,0.77
15096,4340,0.84
15096,4340,0.77
17541,4340,0.55
15096,4340,0.78
3119,4340,0.73
3119,4340,0.78
6658,4340,0.63
3119,4340,0.75
15096,4340,0.87
15096,4340,0.87
6658,4340,0.73
14177,4340,0.85
25661,4842,0.63
3119,4842,0.77
23518,4842,0.78
23518,4842,0.9
23518,4842,0.79
23518,4842,0.85
23518,4842,0.9
23518,4842,0.9
23518,4842,0.88
23518,4842,0.87
17541,4842,0.85
23518,4842,0.86
23518,4842,0.81
23518,4842,0.85
23518,4842,0.88
23518,4842,0.85
23518,4842,0.75
23518,4842,0.73
17541,4842,0.63
6658,4665,0.75
15096,4665,0.8
15096,4665,0.77
3119,4665,0.78
15096,4665,0.81
15096,4665,0.81
6658,4665,0.73
19989,4665,0.68
15096,4665,0.74
15096,4665,0.68
23518,4665,0.82
6658,4665,0.85
17541,9274,0.82
24946,9274,0.8
3119,9274,0.75
3119,11227,0.77
24946,11227,0.75
23518,11227,0.88
25661,11227,0.87
25661,11227,0.83
23518,11227,0.79
23518,11227,0.92
3119,11227,0.85
15096,11227,0.74
3119,11227,0.83
3119,4791,0.78
15096,4791,0.82
3119,4791,0.71
17541,4791,0.74
3119,4791,0.7
19989,4791,0.72
23518,4791,0.88
25661,4791,0.67
15096,4791,0.77
23518,4791,0.89
23518,4791,0.86
