userId,resId,X
20655,9989,0.74
20655,9989,0.74
20655,9989,0.63
24753,9989,0.78
20655,9989,0.78
20655,9989,0.8
24753,9989,0.79
24753,9989,0.74
24753,9989,0.65
20655,844,0.8
24753,844,0.7
24753,844,0.78
20655,5134,0.8
20655,1415,0.6
20655,11022,0.75
20655,11022,0.67
20655,11022,0.75
24753,11022,0.78
24753,11022,0.6
24753,11022,0.67
20655,4751,0.64
20655,1866,0.7
24753,924,0.67
24753,5967,0.73
20655,5967,0.85
20655,5967,0.86
20655,5850,0.83
20655,5850,0.75
24753,5850,0.7
20655,5850,0.83
20655,5850,0.82
20655,5850,0.77
20655,6354,0.78
20655,6354,0.81
24753,6354,0.71
24753,1945,0.67
24753,1945,0.55
24753,1945,0.73
24753,1945,0.71
24753,1349,0.7
20655,10674,0.87
20655,10674,0.86
24753,6401,0.81
24753,6401,0.74
24753,4804,0.67
24753,4804,0.75
24753,4804,0.67
24753,4804,0.52
20655,4804,0.81
24753,4804,0.74
20655,5985,0.8
24753,2672,0.64
24753,609,0.75
24753,609,0.66
20655,609,0.75
24753,2191,0.75
24753,5258,0.83
24753,5258,0.87
24753,5258,0.82
24753,10345,0.63
20655,10059,0.88
20655,10059,0.82
24753,10059,0.62
24753,10059,0.66
24753,10059,0.71
20655,10059,0.66
24753,1543,0.61
20655,1543,0.75
20655,1543,0.75
24753,1543,0.69
20655,1543,0.6
24753,1543,0.52
20655,1543,0.81
24753,1543,0.65
24753,7393,0.67
20655,7393,0.66
20655,298,0.82
20655,298,0.68
24753,298,0.63
24753,298,0.82
20655,10170,0.69
24753,10170,0.73
20655,10170,0.82
24753,10170,0.81
24753,10170,0.8
24753,1829,0.5
24753,1829,0.8
24753,1829,0.73
20655,1829,0.71
24753,10685,0.61
24753,3554,0.78
20655,442,0.71
24753,1145,0.67
20655,3667,0.8
24753,2745,0.69
24753,2737,0.72
20655,5135,0.81
20655,486,0.64
20655,486,0.75
20655,2055,0.85
20655,2055,0.72
20655,10014,0.77
20655,10014,0.78
20655,10014,0.74
24753,10014,0.26
20655,1023,0.76
24753,5057,0.75
20655,2345,0.77
20655,7928,0.72
20655,6663,0.76
24753,5551,0.58
20655,11154,0.82
20655,6834,0.78
24753,9068,0.56
24753,9068,0.59
24753,9068,0.75
24753,9068,0.63
24753,9068,0.72
24753,9068,0.75
24753,9068,0.76
24753,2650,0.68
20655,10665,0.6
24753,10665,0.66
24753,3043,0.78
