,address,comment,id_res,id_user,latitude,longitude,name_res,rating,username,label
3,"Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Lâu rồi không ghé quán nữa..hic....
Hồi trước ngày nào cũng đến...thiếu điều muốn chuyển hiij khẩu qua mũi tàu ở luôm vậy đó...sáng ghé trưa ghé tối lại ghé...hihi...chủ yếu là xem phim kinh dị chứ hông gì...lại riết mà quen thân với mấy anh chị nhân viên ở đấy luôn...",164012,phamngoc130498,10.3852037339229,105.4362275451421,Mũi Tàu Cafe - Trần Hưng Đạo,10.0,Lover puzzle,1
21,"Hùng Vương, P. Mỹ Phước,Tp. Long Xuyên, An Giang","Quán làm món này thấy thơm mùi tiêu , bò ăn thì còn vị ngọt của thịt khá đặc sắc.",713059,quannhaulongxuyen,10.376619714854,105.44379708153672,Quán Nướng Hữu Đức,10.0,Hữu Đức Nguyễn,1
22,"Hùng Vương, P. Mỹ Phước,Tp. Long Xuyên, An Giang","Với sụn Gà chiên ăn vừa mặn vừa có vị ngọt thanh đặc biệt hơn là rất giòn nhé, Ăn rất ngon, Lần sau mình sẽ ghé ăn tiếp mình kết món này",713059,quannhaulongxuyen,10.376619714854,105.44379708153672,Quán Nướng Hữu Đức,10.0,Hữu Đức Nguyễn,1
36,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Lẩu ngon số 1 luôn nha. Từ món ăn đến cả sự thân thiện và cách phục vụ nữa ""GREAT""",197981,lkhnh305756958,10.38855,105.431577,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,10.0,Lê Khánh,1
37,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang",Đi ngây ngày sinh nhật được tặng bánh kem thịt bò siêu đẹp .,197981,giautiny,10.38855,105.431577,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,10.0,Sang Giàu Huỳnh,1
94,"15 Trần Nhật Duật, P. Mỹ Long,Tp. Long Xuyên, An Giang",Chung tay đồng lòng chống Covid-19,656453,Nhavo1,10.3782801792848,105.44139213860029,Nhà Hàng Hải Sản Long Xuyên,10.0,Cafe Sinh To Dung,1
151,"180 Lê Lợi, P. Châu Phú B,Thành Phố Châu Đốc, An Giang",Tết về quê thèm trà sữa nên nghe khen ngon ghé thử.  Công nhận ngon thiệt 😍😍 một mình xử hai ly mà thấy ly trà sữa thiết quan âm ngon hơn trà sữa mâm cây 👍👍👍👍,859794,khangtrinhdo12,10.70319,105.13209,K + K Coffee & Tea,10.0,Vy Lê,1
174,"534 Võ Thị Sáu, P. Mỹ Xuyên,Tp. Long Xuyên, An Giang",Món mới....,163817,vuongbaochau90,10.3763677,105.4362830999999,Today Coffee House,10.0,Chu Vương,1
234,"Quốc Lộ 91 Cũ, Vĩnh Tây 1, Núi Sam,Thành Phố Châu Đốc, An Giang","Được thổ địa dẫn tới quán này 
Bò tươi, nêm gia vị ngon 
Giá cả ok, bình quân 90k/món
ko gian thoáng đãng
Có chỗ đậu xe ô tô !",198932,chaodinhduongsnk,10.677717524026999,105.0718487799167,Quán Trường Nhựt - Các Món Bò,10.0,Chaodinhduong Sơn Kỳ,1
285,"64 - 68 Hoàng Diệu, P. Châu Phú B,Thành Phố Châu Đốc, An Giang","Món ăn ngon ,nhân viên phục vụ nhiệt tình,
Đi 2 người nên ko thử dc nhiều món
Gần chợ Châu Đốc,sẽ quay lại nếu có dịp đi cúng Bà.",691059,luuhuelinhs,10.7005362,105.1136098,Châu Đốc Hội Quán - Tiệm Cơm Bình Dân,10.0,Hue Linh Luu,1
291,"5/18C Lê Lợi, P. Mỹ Bình,Tp. Long Xuyên, An Giang",❤️ matcha ❤️❤️❤️❤️❤️❤️❤️❤️❤️,701172,kimnganne,10.38931,105.438533,Boba Tea House,10.0,Kim Ngân,1
294,"242/4 Lương Văn Cù,Tp. Long Xuyên, An Giang",Minh ve Long Xuyen tham nha. Gd dua minh den quan nay an com trua. O day noi tieng vs mon canh chua ca “minh chon ca Bông Lau” va Tom Kho Tau. An rat vua ngon va hop khau vi nua. E trại minh la Đầu Bếp cho casino o nuoc ngoai ve an ma tum tat khen ngon an hon 5chen com lun. Vua duoc ngoi trong may lanh con gi suong bang. Phuc vu lai chu dao. LIKE mạnh lun. Có dịp minh se den tham quan lan nua.,116062,ritachung92,10.3802085,105.4421425,Tiệm Cơm Hồng Phát,10.0,Tina Chung,1
296,"242/4 Lương Văn Cù,Tp. Long Xuyên, An Giang","Quán ăn ngon, sạch sẽ!
Có chỗ đậu xe ô tô !
phòng máy lạnh.
Nhân viên phục vụ chu đáo . 
Món ăn dân dã miền Tây !!!!",116062,chaodinhduongsnk,10.3802085,105.4421425,Tiệm Cơm Hồng Phát,10.0,Chaodinhduong Sơn Kỳ,1
297,"242/4 Lương Văn Cù,Tp. Long Xuyên, An Giang","Mỗi lần từ Úc về vn chơi và cùng gia đinh về Long Xuyên điểm đến đầu tiên là lun ưu tiên cho cái bụng trước , lí do vì ko thể nào quên đc từng hương vị các món ăn ở đay siêu ngon lun😍😍 mọi ngk có dịp đi lễ thắp hương chùa bà Châu Đốc thì hãy 1 lần trải nghiệm tất cả món ăn ở Tiệm Cơm Hồng Phát ở Long Xuyên Nhé .👍🏻👍🏻 Đặc biệt ở quán là khi bạn đến với tiệm là ở đây có rất nhiều món ăn đa dạng và phong phú món nào cũng ngon nên mik có lúc cũng ko pik chọn món nào lun 😜😜. Bạn có thể nhờ ông bà chủ ở đây tư vấn nhé 😘😘 bạn sẽ rất ngờ 1 điều là ông bà chủ siêu dễ thương thân thiên lun ak cảm giác thoải mái sau 1 hành trình đi xa nè . Còn chừng chờ j nữa mà các bạn ko thử đến với tiệm nè 😍 đừng quên giới thiệu bạn bè lun nha 😍",116062,kriscinachung,10.3802085,105.4421425,Tiệm Cơm Hồng Phát,10.0,kriscinachung,1
304,"Tỉnh Lộ 948, Xã Châu Lăng,Tri Tôn, An Giang",Good,695052,ductai.senkhiet,10.4616358,105.0153526,Thốt Nốt Hương Sen,10.0,Tài Đức ,1
306,"Tỉnh Lộ 948, Xã Châu Lăng,Tri Tôn, An Giang","Quán sạch sẽ thoáng mát, cả vườn hoa 10g nhìn rất đẹp,uống nước hay ăn chè rồi thì k thể quên dc.... triệu like !",695052,tuynmc,10.4616358,105.0153526,Thốt Nốt Hương Sen,10.0,Tuyền Mạc,1
309,"Tỉnh Lộ 948, Xã Châu Lăng,Tri Tôn, An Giang",Quán đẹp. Có cá có chim có bông hoa lá cành đủ loại. Mình rất thích. Thốt nốt thì đúng ngon. Ngọt. Tươi. Có thêm cô chủ rất ư dể thương. Có dịp đi là ghé liền ghé liền 🤗🤗🤗,695052,sealanguyen,10.4616358,105.0153526,Thốt Nốt Hương Sen,10.0,Seala Nguyễn,1
310,"Tỉnh Lộ 948, Xã Châu Lăng,Tri Tôn, An Giang","- không gian thoáng mát
- sạch sẽ
- thức uống chuẩn sạch
- có cái hồ cá KOI cưng xỉu, mây sbanj cá háu ăn cục kì
- thích mấy cái Tum, nhóm phượt là tha hồ tám tám tám ko sợ phiền ai
- Chè thì khỏi nói, ngon ngất ngây, mau hết lắm luôn",695052,hannguyen169,10.4616358,105.0153526,Thốt Nốt Hương Sen,10.0,Nguyen Van,1
311,"Tỉnh Lộ 948, Xã Châu Lăng,Tri Tôn, An Giang","Đi Tri tôn mà không ghé quán này thì quả là lãng phí ^^ Đảm bảo khi ăn 1 chén chè thốt nốt (đặc sản của vùng 7 núi đó) 😀sẽ cảm thấy mát mẻ trong người lắm nhé, không gian quán rất thoải mái, có nhiều cây hoa lá cho bạn nào yêu thích thiên nhiên, cafe lại rẻ, mai vác balo đi và ngay luôn để cảm nhận nhé các bạn😊",695052,hoanghaibiz,10.4616358,105.0153526,Thốt Nốt Hương Sen,10.0,Hai Nguyễn,1
321,"Tầng L4 - 06, Vincom Long Xuyên, 1242 Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Kem ngon, mùi vị đa dạng, bánh cũng ngon, trà sữa mùi thì ngon như Chin. Phải nói sẽ đến Fanny ăn kem cug gd hoài hoài... phục vụ thì vô cùng chu đáo....",253301,kenv5235,10.383676,105.437283,Kem Fanny - Vincom Long Xuyên,10.0,Ken Võ,1
346,"Tầng 5 Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Đã dùng rất nhiều lần các món kem tại đây. Kem luôn ngon, không gian tạo sự thoải mái cộng thêm nhân viên vui vẻ thì còn gì tuyệt hơn....",244566,hongtrn6091,10.383696,105.437276,Kem Dairy Queen - Vincom Long Xuyên,10.0,Hoàng Trần,1
347,"Tầng 5 Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Vừa dùng thử món kem úp ngược thú vị của dairy queen. Sau khi được nhân viên gợi ý thì mình đã chọn món kem vị trà xanh, kem rất ngon và không ngán. Nhân viên vui vẻ, nhiệt tình. Không gian cũng rất thoải mái nữa.Tất cả các thực phẩm đều rất ngon, đa dạng. Thái độ phục vụ của nhân viên rất thân thiện, vui vẻ....",244566,vohoango0o,10.383696,105.437276,Kem Dairy Queen - Vincom Long Xuyên,10.0,hoang tran,1
348,"Tầng 5 Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Kem úp ngược vị dâu ở đây rất ngon. Nhân viên phục vụ úp ngược kem xuống nhìn rất lạ mắt chỉ có ở dairy queen . Có nhiều vị trái cây để lựa chọn. Nhân viên kẻ đây rất vui vẻ, nhiệt tình.....",244566,quoctinh.ckag,10.383696,105.437276,Kem Dairy Queen - Vincom Long Xuyên,10.0,Tính Lê,1
350,"Tầng 5 Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Bánh làm từ kem lạnh chỉ có tại Dairy Queen với nhiều hương vị  như: kẹo, kitkat, trà xanh, chocolate, hạnh nhân... đặc biệt cháu tôi rất thích vị phúc bồ tử- hạnh nhân, nên sinh nhật nó tôi đã đặt vị này. lần sau khi quay lại tôi sẽ thử những vị khác.",244566,lethidiemmi.39td,10.383696,105.437276,Kem Dairy Queen - Vincom Long Xuyên,10.0,user user,1
351,"Tầng 5 Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang",Nước uống ở đây rất ngon và lạ. mình có dùng thử loại nước uống shark socola. Nước uống này có kem ăn rất ngon lại có nhiều vịnđể chọn lựa. Vị ngọt vừa đủ ăn hoài k ngán. Lần sau tôi sẽ quay lại để sử dụng những vị khác,244566,nguyennguyen7004,10.383696,105.437276,Kem Dairy Queen - Vincom Long Xuyên,10.0,Nguyen Nguyen,1
353,"Tầng 5 Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang",Hôm.qua tôi có ghé ăn kèm cone ở cửa hàng này. Vì tôi rất thích ăn loại kem cone mặc dù những kém khác cũng rất ngon. Kem cone có bắt cái curl mhìm rất dễ cưng.,244566,nguyntu1312,10.383696,105.437276,Kem Dairy Queen - Vincom Long Xuyên,10.0,Tú Tú,1
354,"Tầng 5 Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang",Tuần rồi mình có đến cử hàng này đặt bánh kem . Vì bánh kem ở đây 100% là kem lạnh k có bánh bong lan ở những chỗ khác. Do mình rát thích an kem úp nguoc nhất là vị phuc bồn tử hạnh nhan nen có dịp sinh nhạt mình đạt bánh luôn. Ở đay trang trí rát đẹp. Mình sẽ ghé ủng hộ dài dài,244566,nguyenthanhnam123lx,10.383696,105.437276,Kem Dairy Queen - Vincom Long Xuyên,10.0,nam nguyen,1
355,"Tầng 5 Vincom Long Xuyên, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Mỗi cuối tuần tôi dành chút thời gian để đến cửa hàng Dairy Queen Vincom Long Xuyên An Giang để thưởng thức những món kem mà tôi yêu thích. Tôi, một tính đồ của trà xanh, những món kem Blizzard vị trà xanh hay Kem café đá xay vị trà xanh, những món ăn có hương trà xanh thơm dịu cùng với vị kem ngọt, vị béo vừa phải. Hãy đến đây sớm để được phục vụ một cách tốt nhất, nhiệt tình nhất với một thực đơn phong phú.",244566,pisces0906,10.383696,105.437276,Kem Dairy Queen - Vincom Long Xuyên,10.0,Miên Min'r,1
445,"67 Lý Tự Trọng,Tp. Long Xuyên, An Giang","-Dạo vòng foody thì nhiều bạn comment cho quán Cây Điệp rồi. Cho cái kết luận luôn cho lẹ !!!
 Mình cũng ăn nhiều quán,theo khẩu vị mình chấm cơm tấm Long Xuyên ở đây là ngon nhất ! 

-Nước mắm: đặt sệt sệt có vị ngọt nhẹ. Là đặc trưng của Cây Điệp so với các quán khác. Hjhj

-Ps: điểm trừ là quán dùng tay bóc đồ ăn nhe! Đề nghị góp ý. Khửa khửa",19362,buivuaihien,10.380483,105.440439,Cơm Tấm Cây Điệp,10.0,Ái Hiền,1
500,"3E3 Lý Thái Tổ, P. Đông Xuyên,Tp. Long Xuyên, An Giang",Nơi giao lưu gặp gỡ những người bạn thích khám phá An Giang. Địa điểm sống ảo tuyệt.,774476,hongloan777921,10.3796108971565,105.44502316382359,Lang Thang An Giang Cafe,10.0,Cong Chua Den,1
629,"Vĩnh Mỹ, P. Châu Đốc,Thành Phố Châu Đốc, An Giang","Cafe ngon, khung quán trang trí rất đẹp, nhân viên nhiệt tình",958013,h2_story,10.687737,105.137886,Cafe Sky - Vĩnh Mỹ,10.0,MiHi Huỳnh,1
738,"22 Trần Nhật Duật,Tp. Long Xuyên, An Giang","Quán là địa điểm lý tưởng để ghé ăn trưa cho những chuyến đi về Long Xuyên khi có dịp. Không gian quán rộng rãi, lịch sự, có cả phòng ăn máy lạnh và ngoài trời. Món ăn thì khỏi phải bàn cãi vì độ ngon và đậm đà. Điểm đáng nói là khi bước vào quán sẽ đi qua chỗ chọn món, nhìn hàng chục món làm sẵn vừa nóng hổi, có những món đang chế biến, thơm nức lối đi vào mà thèm thuồng khó cưỡng. Trong hình là món trứng gà non cháy tỏi, cá kèo kho tộ và canh chua cá hú.",26750,le.mai0307,10.378815,105.441821,Quế Phát - Quán Ăn Gia Đình,10.0,Lê Mai,1
816,"3 Lê Văn Nhung, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Bánh mì giòn giòn, siêu ngon. Chỉ 10k mà pate, trứng chả đủ thứ,... Nhỏ giờ chỉ ăn bánh mì ở đây, có cô chủ bán bánh mì hơi bị dễ thương luôn 😂 Đặc biệt, cô chỉ cần gặp mình đến là biết ngay mình ăn món gì luôn 😍 Sẽ ủng hộ dài dài ❤️❤️❤️❤️",698205,xunla,10.384489091932,105.43669525533909,Bánh Mì Lý Ba,10.0,La Xuân,1
952,"126 Tân Lộ Kiều Lương, P. Châu Phú A,Thành Phố Châu Đốc, An Giang","Thức uống siêu ngon , rẻ , có máy lạnh bonus thêm cái view chụp hình siêu ảo :)) perfect :*",742582,tam2306,10.6831912,105.08173940000009,126 Mountain - Coffee & Store,10.0,tam2306,1
954,"325 Ung Văn Khiêm, P. Mỹ Phước,Tp. Long Xuyên, An Giang",".Bọn mình từ CT chạy lại LX chơi, vô tình tìm được quán này qua PAUL LONG XUYÊN trên FB. 

Quán ăn dễ tìm( đối với các bạn ở LX ) , sáng sủa, đồ ăn siêu ngon giá lại vô cùng mềm. Có thêm món lạ rượu nếp nóng uống rất là hợp với lẩu bò tay cầm, ấm bụng ngọt ngọt rất là dễ chịu. Nếu các bạn đến quán này thì mình highly recommend món lẩu bò tay cầm, bò lụi và dùng kèm với rượu nếp nóng. Hai đứa ăn no lăn về luôn 🤣. 

Đặc biệt ở đây từ chủ quán đến nhân viên đều dễ chịu, dễ thương tận tình chỉ đường cho mình ,cho dù tụi mình đi lạc mấy lần :))). Sau khi ăn no nê về nhà, hôm sau anh chủ còn gọi điện hỏi thăm ân cần các thứ awwwww 😭😭😭 thiệt là dễ thương. Lần sau mà mình có quay lại LX, chắc chắn mình sẽ dẫn bạn bè tới đây để ủng hộ quánnnnn. 

Đồ ngon, phục vụ tốt đáng được ‘ ghé thăm ‘ dài dài mà đúng hônnnn",774726,nhathoang49,10.3727073034749,105.43392049810791,Ẩm Thực Buffet Loan,10.0,Hoàng Nhật,1
968,"Hồ Nguyễn Du,Tp. Long Xuyên, An Giang","Biết quán nhờ cô bạn cùng lớp...nghe nói là quán của anh bạn ấy...^^
Quán chiều khách cực luôn....ăn chay trường vẫn có thể đến quán ăn được nhé....có bánh gạo chay và cả mì kim chi chay nữa đấy...😘😘😘",162533,phamngoc130498,10.3908733,105.4371032,Cỏ 3 Lá - Hồ Nguyễn Du,10.0,Lover puzzle,1
1008,"Khu Vui Chơi Giải Trí Hải Đến, 199 Nguyễn Tri Phương, P. Vĩnh Mỹ,Thành Phố Châu Đốc, An Giang","Món ăn ở đây rất ngon, thực phẩm tươi sống, các món ăn đang dạng, phong phú và có thay đổi theo ngày nên rất ok nhe các bạn. Nhân viên tận tình phục vụ, thái độ rất tốt. Mình khuyến khích địa điểm này. Phù hợp cho cả người ăn chay và mặn.",1003489,foodee_2d95e2ef,10.698698,105.129694,Vạn Hương Mai - Buffet Lẩu Băng Chuyền,10.0,Henry luong,1
1104,"53 Nguyễn Hữu Cảnh,Thành Phố Châu Đốc, An Giang","Quán mở cửa lúc 6h chiều,thức ăn gồn có trà sữa chân trâu,đá bào đậu đỏ,bánh plan,nhiều loại thạch pho mai,chè khúc bạch. Quán rộng rãi thoáng mát,sạch sẽ,chủ quán siêu dễ thương,phục vụ tận tình",122537,phuong.nguyen2271996,10.7100695,105.1183622999999,Gia Đình Dưa Lưới - Quán Ăn Vặt,10.0,thanh phương nguyễn,1
1122,"913 Trần Hưng Đạo, P. Bình Khánh,Chợ Mới, An Giang","Bún ngon, chất lượng quanh năm vẫn ngon. Nhân viên vui vẻ nhiệt tình. Quán khá nổi tiếng trên tuyến đường*** Giá quá rẻ, ăn vừa bụng luôn. Tuyệt vời.",1015016,foodee_p0wzvmzt,10.394032,105.425834,Bún Cá Thảo Sương,10.0,Nguyễn Minh,1
1190,"20 - 22 - 24 Phan Đình Phùng B,Tp. Long Xuyên, An Giang","Ngon-dễ tìm ! Bán suốt đêm khuya

Quán gần tượng đài bác Tôn,dễ tìm
Cơm,phở,hủ tiếu,bún....các loại. Món nào cũng ngon !
Giá bình dân 
++Đặc Biệt là
Bán suốt đêm. Phục vụ cho các tín đồ ghiền ăn khuya ! 1 lựa chọn cho tất cả

Quán rất lâu đời và rất ngon!",171230,buivuaihien,10.384257,105.441663,Cơm Tấm Hướng Dương - Phan Đình Phùng B,10.0,Ái Hiền,1
1195,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Sau 1 ngày làm việc mệt mỏi, chỉ muốn đến đây nhâm nhi ly cafe, ngắm cảnh Long Xuyên về đêm.
Nước uống thì khỏi bàn, đồ ăn thì khỏi chê, giá cả thì cũng hợp lý luôn <3",70091,foodee_uv9lmr6j4p,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,thanhvan1909,1
1201,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang",Hic bắt đền quán vì đồ ăn ngon lần nào đi cũng ăn thật nhiều xong bây giờ cũng béo thật nhiều!!!,70091,tranglacyen1983,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,Ánh Nguyễn,1
1202,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang",Lên Panda cafe checkin nè mọi người ui. Background siêu đẹp siêu đỉnh cho tết năm nay nèhhhhh,70091,foodee_njwuzrru,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,Han Gia,1
1207,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang",Lên Panda vừa thưởng thức các món ăn vặt vừa ngắm cảnh. Thì còn gì bằng 😘😋,70091,trinhngc917544977,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,Trinh Ngọc,1
1216,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Dừa tắc mát lạnh, chua chua ngọt ngọt của yaour kiwi kết hợp với không gian thoáng mát, không còn gì tuyệt vời hơn đâu các bạn!! Đã đến đây và sẽ tiếp tục đến ☺☺☺",70091,quethaolxag,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,Quế Thảo,1
1221,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Hôm kia đi công tác xa mắc mưa ghé dô đây ngồi chờ mưa tạnh thấy món bánh trứng gà tên lạ lùng nên ăn thử thì nghiện ngay từ lần đầu tiên luôngggg, nhắc tới lại thèm hôm nào dắt bồ xuống ăn á hi hi",70091,minhhoang250995,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,Minh Hoàng Trần,1
1222,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Buổi trưa rãnh rỗi lên lầu 9 tránh nắng ăn trưa xong ngồi xem phim Hàn Quốc là bao phê luôn nạ, theo tôi thấy thì nhân viên ở đây nhiệt tình bưng đồ ăn thức uống rất nhẹ nhàng lịch sự chứ không cẩu thả cảm giác được tôn trọng.",70091,nguynminh4961,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,Nguyễn Minh,1
1223,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Đồ ăn ngon, mùi vị giống như ở nhà tui hồi đó dì tui nấu vậy, sống xa gia đình lâu rồi lên đây ăn để nhớ lại hương vị như ở nhà... không gian thì luôn thay đổi sáng tạo lâu lâu lên sẽ có một concept mới để chụp hình.",70091,bnhthcm,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,Bành Thị Cám,1
1229,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Quán view đẹp, nước good, View quán có thể nhìn toàn cảnh LX từ trên xuống. Mỗi lần về quê tôi hay lên đây ngồi để nhớ về vài kỷ niệm trong quá khứ.",70091,lulu_thanhluan,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,John Nguyen,1
1231,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Quán thoáng mát,lịch sự,cảnh đẹp,là nơi sống ảo đúng chất cho mọi lứa tuổi.",70091,lyphan109,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,Ly Phan,1
1232,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Quán đẹp, có chất riêng.Không gian quán rộng rãi, thoáng mát, chia làm nhiều khu phù hợp với mọi người. Những bản nhạc xưa nhè nhẹ thích hợp để nhâm nhi ly cafe buổi sáng mang cảm giác thanh bình giữa lòng thành phố tấp nập.",70091,lyphan109,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,Ly Phan,1
1233,"9/9 Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Không chỉ là 1 quán cafe bình thường, Panda Cafe còn là 1 trong những quán view đẹp bậc nhất TP. Long Xuyên.
Ai đã, đang và chuẩn bị đến An Giang, nhất định phải đến Long Xuyên và ghé Panda Cafe 1 lần cho biết.
Đến để có đc những bức ảnh ""lung linh"" “sống ảo” trên facebook hay instagram nè, cũng có thể nói là SELFIE “QUÊN LỐI VỀ” luôn đó nhen.
Thức ăn, nước uống thì tuyệt vời, phục vụ thì khỏi chê lại còn đc nhìn toàn cảnh Tp. Long Xuyên nữa.
Love Panda Cafe!",70091,kittyvan19,10.379247,105.439512,Panda Cafe - Trần Hưng Đạo,10.0,Huỳnh Thanh Vân,1
1264,"Tô Minh Xuyến, Ấp 1,Giá Rai, Bạc Liêu","quán ở đây ngon lắm các bạn, đồ ăn rất ngon hợp vệ sinh, không gian thoáng mát, có cho thuê truyện tranh",147369,01235511671,9.2304535,105.4186797,Quán Cô Hưởng - Tô Minh Xuyến,10.0,JamesKhoi,1
1265,"Tô Minh Xuyến, Ấp 1,Giá Rai, Bạc Liêu","Quán ở đây chủ yếu bán cho học sinh, ở Hộ Phòng ai cũng biết đến quán này, đồ ăn rất ngon, cho thuê truyện tranh, có bán quà lưu niệm,mời các bạn lại đây ăn thử",147369,hunhlinhkhi,9.2304535,105.4186797,Quán Cô Hưởng - Tô Minh Xuyến,10.0,Huỳnh Khôi,1
1275,"128 Võ Thị Sáu, P. 8,Thị xã Bạc Liêu, Bạc Liêu","Bốn anh em vào gọi món Cá heo chiên, gỏi bạch tuộc, cá bống tượng. Quản lý biết tư vấn các món ăn rất vừa :)",645002,havitech,9.293733,105.710621,Thuyền Trăng Quán - Ẩm Thực Việt,10.0,HaviTech,1
1293,"14 Ấp 2, TT. Hộ Phòng,Giá Rai, Bạc Liêu",Cupcake cute.,146144,quen.xiu.9,9.227324,105.417494,Bánh Kem Ngọc Thu - Hộ Phòng,10.0,Xíu Quến,1
1315,"Quốc Lộ 1A,Vĩnh Lợi, Bạc Liêu","Ngon, sạch rẻ",717461,Kissme2607,9.334675,105.71666,Út Mén - Bún Nước Lèo Cá Đồng,10.0,Toàn nguyễn,1
1395,"516 - 518 Võ Thị Sáu, P. 3,Thị xã Bạc Liêu, Bạc Liêu","Một trong những món ăn đặc biệt nổi tiếng của Bạc Liêu! Ai đến Bạc Liêu chắc chắn k thể bỏ qua món này! Nem nướng bánh hỏi, nem thì rất to, nhiều, bánh hỏi mềm thơm. Đặc biệt nhất là tương chấm! Cực kỳ xuất sắc! 
Một phần như hình chỉ có 35k. So với các quán nem nướng ở nơi khác thì ở đây ngon hơn rất nhiều. Đến đây ăn bạn sẽ thấy chất lượng rất xứng đáng với 35k mà bạn bỏ ra. 
Ngoài ra còn có bún xào nem nướng nữa. Ở Bạc Liêu bún xào là bún được đem đi xào với xả với thịt, chứ k như vài tỉnh khác chỉ xào thịt k xào bún. 
Rau ở quán luôn xanh, do là dân xứ Bạc Liêu nên mình đã nhiều lần thấy nhân viên quán lựa nhặt rau. Chỉ giữ lại những lá xanh tốt, rau rửa khá kỹ nên có thể yên tâm!
Các bạn đến Bạc Liêu hãy ghé qua quán này dùng thử, đảm bảo ngon tê tái luôn! Quán ở đối diện trường THCS võ thị sáu luôn, khá dễ tìm!",72711,tpthao1907,9.284527,105.72157,Băng Tâm - Bún Xào Nem Nướng,10.0,Thảo  Tròn,1
