id_user,id_res,X,userId,resId
hdtuan93,774490,0.68,13356,9397
kidrock9x,164012,0.65,16328,1431
thanhdi96,164012,0.82,27027,1431
phamngoc130498,164012,0.96,23854,1431
huyhong6306,164012,0.83,15096,1431
ngongocmaithy,164012,0.53,21287,1431
huyhong6306,725647,0.82,15096,8301
ttbms,164012,0.76,30197,1431
huyhong6306,725647,0.83,15096,8301
foodee_sxvxwozk,256018,0.77,11373,3690
hoa.luu.754918,256018,0.96,13816,3690
queeniele,256018,0.85,25191,3690
hdtuan93,256018,0.76,13356,3690
danghuynhmaitrang,256018,0.91,5621,3690
michelcuong,256018,0.45,19252,3690
ducmanhnguyen1987,35836,0.81,6491,5148
hdtuan93,35836,0.83,13356,5148
tngphnganh,35836,0.85,28820,5148
ttbms,35836,0.66,30197,5148
taysungmientay,35836,0.78,26795,5148
cactus1551994,279700,0.53,4372,4281
quannhaulongxuyen,713059,0.9,25160,7878
quannhaulongxuyen,713059,0.98,25160,7878
khanhhuy86,713059,0.87,16100,7878
khanhhuy86,713059,0.91,16100,7878
foodee_hdv56x26,713059,0.92,10017,7878
foodee_ah0kupjs,713059,0.9,8880,7878
hdtuan93,713059,0.76,13356,7878
hdtuan93,713059,0.71,13356,7878
nguynduy3591,713059,0.94,22228,7878
nguynduy3591,713059,0.82,22228,7878
tunnguyn6431,713059,0.35,30407,7878
vvtuan40th,713059,0.97,31586,7878
lhau.agitech,713059,0.93,17607,7878
acthan480,197981,0.86,2455,2196
trieuvy.01674388829,197981,0.93,29760,2196
lkhnh305756958,197981,0.99,18029,2196
giautiny,197981,0.99,12592,2196
Maisuri0212,197981,0.14,1373,2196
dangnhutduy221982,197981,0.66,5646,2196
Maiquangthuan,197981,0.74,1372,2196
dangnhutduy221982,197981,0.6,5646,2196
dangnhutduy221982,197981,0.65,5646,2196
hdtuan93,197981,0.74,13356,2196
buutung5289,197981,0.74,4337,2196
hdtuan93,197981,0.76,13356,2196
chyngdia108,197981,0.46,5070,2196
hdtuan93,197981,0.64,13356,2196
huyhoang09101996,197981,0.56,15092,2196
huyhong6306,197981,0.44,15096,2196
im_lonely32,197981,0.14,15396,2196
hdtuan93,197981,0.83,13356,2196
huyhong6306,197981,0.77,15096,2196
huyhoang09101996,197981,0.74,15092,2196
hdtuan93,197981,0.85,13356,2196
huyhoang09101996,197981,0.86,15092,2196
huyhong6306,197981,0.84,15096,2196
hdtuan93,197981,0.64,13356,2196
huyhoang09101996,197981,0.75,15092,2196
Huynhneke,197981,0.32,1078,2196
huyhong6306,197981,0.67,15096,2196
pip4479,197981,0.56,24767,2196
hotboybongdem3x,197981,0.55,14617,2196
huuthanhuar,197981,0.42,14941,2196
ttbms,203501,0.68,30197,2338
ttbms,203501,0.78,30197,2338
huyhong6306,725666,0.82,15096,8302
huyhong6306,725666,0.83,15096,8302
foodee_v75iub6a,262462,0.13,11647,3853
hdtuan93,262462,0.87,13356,3853
hdtuan93,86563,0.62,13356,10133
hdtuan93,86563,0.54,13356,10133
boystupid1996ag,86563,0.67,4164,10133
trongaikg,86563,0.51,29952,10133
nga0411,86563,0.28,20629,10133
michelcuong,244121,0.67,19252,3415
hdtuan93,694676,0.82,13356,7397
baprangbo_1176,678229,0.83,3503,7020
huyhong6306,678229,0.76,15096,7020
baprangbo_1176,678229,0.84,3503,7020
huyhong6306,678229,0.77,15096,7020
huyhong6306,678229,0.74,15096,7020
sunny.tran.35,678229,0.86,26460,7020
cactus131162,637076,0.62,4371,5896
hdtuan93,774728,0.77,13356,9407
michelcuong,629217,0.75,19252,5634
michelcuong,248504,0.63,19252,3510
panda1983,801185,0.89,23534,9842
hdtuan93,801185,0.85,13356,9842
phanquynh1983,801185,0.88,24046,9842
huyhong6306,737949,0.79,15096,8606
michelcuong,629990,0.87,19252,5651
michelcuong,246688,0.58,19252,3478
Tommy2018,774599,0.28,2102,9400
Nhavo1,656453,0.89,1626,6399
hdtuan93,656453,0.79,13356,6399
hdtuan93,656453,0.74,13356,6399
hdtuan93,656453,0.8,13356,6399
hdtuan93,656453,0.72,13356,6399
hdtuan93,243827,0.74,13356,3410
hdtuan93,243827,0.64,13356,3410
mailannn,235415,0.76,18812,3178
Thaitran1408,863287,0.79,1959,10098
dangnhutduy221982,791304,0.89,5646,9718
hdtuan93,665937,0.84,13356,6727
michelcuong,665937,0.6,19252,6727
dovanphuc1991,301183,0.98,6393,4826
bangphan2096,301183,0.88,3345,4826
cactus131162,212751,0.75,4371,2642
hdtuan93,711647,0.7,13356,7809
tlnanh2205,711647,0.73,28782,7809
hdtuan93,711647,0.71,13356,7809
hdtuan93,711647,0.78,13356,7809
hotboybongdem3x,242213,0.66,14617,3367
hotboybongdem3x,242213,0.76,14617,3367
hdtuan93,719593,0.83,13356,8088
hieu.nguyen-trung,719593,0.79,13587,8088
nguyenhuong0911,210385,0.98,21675,2520
hdtuan93,210385,0.74,13356,2520
hdtuan93,210385,0.77,13356,2520
michelcuong,210385,0.75,19252,2520
gaigu,210385,0.63,12375,2520
hdtuan93,700089,0.67,13356,7520
hdtuan93,700089,0.74,13356,7520
hdtuan.agp,700089,0.74,13355,7520
hdtuan93,700089,0.83,13356,7520
