id_user,id_res,X
hdtuan93,774490,0.68
kidrock9x,164012,0.65
thanhdi96,164012,0.82
phamngoc130498,164012,0.96
huyhong6306,164012,0.83
ngongocmaithy,164012,0.53
huyhong6306,725647,0.82
ttbms,164012,0.76
huyhong6306,725647,0.83
foodee_sxvxwozk,256018,0.77
hoa.luu.754918,256018,0.96
queeniele,256018,0.85
hdtuan93,256018,0.76
danghuynhmaitrang,256018,0.91
michelcuong,256018,0.45
ducmanhnguyen1987,35836,0.81
hdtuan93,35836,0.83
tngphnganh,35836,0.85
ttbms,35836,0.66
taysungmientay,35836,0.78
cactus1551994,279700,0.53
quannhaulongxuyen,713059,0.9
quannhaulongxuyen,713059,0.98
khanhhuy86,713059,0.87
khanhhuy86,713059,0.91
foodee_hdv56x26,713059,0.92
foodee_ah0kupjs,713059,0.9
hdtuan93,713059,0.76
hdtuan93,713059,0.71
nguynduy3591,713059,0.94
nguynduy3591,713059,0.82
tunnguyn6431,713059,0.35
vvtuan40th,713059,0.97
lhau.agitech,713059,0.93
acthan480,197981,0.86
trieuvy.01674388829,197981,0.93
lkhnh305756958,197981,0.99
giautiny,197981,0.99
Maisuri0212,197981,0.14
dangnhutduy221982,197981,0.66
Maiquangthuan,197981,0.74
dangnhutduy221982,197981,0.6
dangnhutduy221982,197981,0.65
hdtuan93,197981,0.74
buutung5289,197981,0.74
hdtuan93,197981,0.76
chyngdia108,197981,0.46
hdtuan93,197981,0.64
huyhoang09101996,197981,0.56
huyhong6306,197981,0.44
im_lonely32,197981,0.14
hdtuan93,197981,0.83
huyhong6306,197981,0.77
huyhoang09101996,197981,0.74
hdtuan93,197981,0.85
huyhoang09101996,197981,0.86
huyhong6306,197981,0.84
hdtuan93,197981,0.64
huyhoang09101996,197981,0.75
Huynhneke,197981,0.32
huyhong6306,197981,0.67
pip4479,197981,0.56
hotboybongdem3x,197981,0.55
huuthanhuar,197981,0.42
ttbms,203501,0.68
ttbms,203501,0.78
huyhong6306,725666,0.82
huyhong6306,725666,0.83
foodee_v75iub6a,262462,0.13
hdtuan93,262462,0.87
hdtuan93,86563,0.62
hdtuan93,86563,0.54
boystupid1996ag,86563,0.67
trongaikg,86563,0.51
nga0411,86563,0.28
michelcuong,244121,0.67
hdtuan93,694676,0.82
baprangbo_1176,678229,0.83
huyhong6306,678229,0.76
