userId,resId,X
13356,9397,0.68
16328,1431,0.65
27027,1431,0.82
23854,1431,0.96
15096,1431,0.83
21287,1431,0.53
15096,8301,0.82
30197,1431,0.76
15096,8301,0.83
11373,3690,0.77
13816,3690,0.96
25191,3690,0.85
13356,3690,0.76
5621,3690,0.91
19252,3690,0.45
6491,5148,0.81
13356,5148,0.83
28820,5148,0.85
30197,5148,0.66
26795,5148,0.78
4372,4281,0.53
25160,7878,0.9
25160,7878,0.98
16100,7878,0.87
16100,7878,0.91
10017,7878,0.92
8880,7878,0.9
13356,7878,0.76
13356,7878,0.71
22228,7878,0.94
22228,7878,0.82
30407,7878,0.35
31586,7878,0.97
17607,7878,0.93
2455,2196,0.86
29760,2196,0.93
18029,2196,0.99
12592,2196,0.99
1373,2196,0.14
5646,2196,0.66
1372,2196,0.74
5646,2196,0.6
5646,2196,0.65
13356,2196,0.74
4337,2196,0.74
13356,2196,0.76
5070,2196,0.46
13356,2196,0.64
15092,2196,0.56
15096,2196,0.44
15396,2196,0.14
13356,2196,0.83
15096,2196,0.77
15092,2196,0.74
13356,2196,0.85
15092,2196,0.86
15096,2196,0.84
13356,2196,0.64
15092,2196,0.75
1078,2196,0.32
15096,2196,0.67
24767,2196,0.56
14617,2196,0.55
14941,2196,0.42
30197,2338,0.68
30197,2338,0.78
15096,8302,0.82
15096,8302,0.83
11647,3853,0.13
13356,3853,0.87
13356,10133,0.62
13356,10133,0.54
4164,10133,0.67
29952,10133,0.51
20629,10133,0.28
19252,3415,0.67
13356,7397,0.82
3503,7020,0.83
15096,7020,0.76
3503,7020,0.84
15096,7020,0.77
15096,7020,0.74
26460,7020,0.86
4371,5896,0.62
13356,9407,0.77
19252,5634,0.75
19252,3510,0.63
23534,9842,0.89
13356,9842,0.85
24046,9842,0.88
15096,8606,0.79
19252,5651,0.87
19252,3478,0.58
2102,9400,0.28
1626,6399,0.89
13356,6399,0.79
13356,6399,0.74
13356,6399,0.8
13356,6399,0.72
13356,3410,0.74
13356,3410,0.64
18812,3178,0.76
1959,10098,0.79
5646,9718,0.89
13356,6727,0.84
19252,6727,0.6
6393,4826,0.98
3345,4826,0.88
4371,2642,0.75
13356,7809,0.7
28782,7809,0.73
13356,7809,0.71
13356,7809,0.78
14617,3367,0.66
14617,3367,0.76
13356,8088,0.83
13587,8088,0.79
21675,2520,0.98
13356,2520,0.74
13356,2520,0.77
19252,2520,0.75
12375,2520,0.63
13356,7520,0.67
13356,7520,0.74
13355,7520,0.74
13356,7520,0.83
31894,3349,0.88
4372,2051,0.68
6491,3369,0.84
5509,3406,0.82
13356,9276,0.8
13356,7629,0.79
13356,7629,0.84
13356,7629,0.82
15096,8303,0.83
15096,8610,0.84
4164,3956,0.47
15641,3956,0.77
5646,2119,0.61
31899,4616,0.24
15096,4616,0.81
3503,4616,0.85
15096,4616,0.83
15096,4616,0.83
22568,6569,0.2
15096,4616,0.84
15096,4616,0.79
1667,6569,0.63
1489,6569,0.73
13356,10038,0.69
13356,8137,0.8
16058,10067,0.96
11945,1424,0.56
11945,1424,0.6
11945,1424,0.63
13356,1424,0.8
13356,1424,0.78
24586,1424,0.81
13356,1424,0.79
13356,1424,0.76
16328,1424,0.77
13356,1424,0.76
19252,1424,0.85
29503,1424,0.77
16942,1424,0.85
19252,1424,0.77
22256,1424,0.75
303,1424,0.62
5398,1424,0.86
27282,1424,0.83
14958,1424,0.84
55,1424,0.89
20809,1424,0.79
30197,1424,0.77
31486,1424,0.94
2172,1424,0.95
30197,1424,0.63
15096,8609,0.76
22056,4297,0.78
2793,4297,0.89
13356,7635,0.8
13356,7635,0.63
13356,9271,0.82
30197,1980,0.72
12380,1980,0.84
30197,1980,0.77
20809,2568,0.73
